구분,기업명,사업자등록번호,등록연도,현행특구,강소특구여부
1,㈜비티웍스,120-86-42098,2008,대덕,
2,㈜라스테크,314-81-38438,2009,대덕,
3,서울프로폴리스㈜,314-81-57605,2009,대덕,
4,호전에이블,314-86-31949,2012,대덕,
5,㈜세이프텍리서치,314-86-39131,2012,대덕,
6,㈜에스엠나노바이오,314-86-51514,2013,강소(안산),강소
7,㈜디지엠텍,514-81-91464,2014,대구,
8,㈜한남바이오,314-86-56159,2014,대덕,
9,㈜욱성미디어,314-86-31895,2014,대덕,
10,㈜부경대학교어간장연구소,617-86-19335,2014,부산,
11,㈜알앤에스랩,135-86-42334,2014,대구,
12,㈜이인텔리전스,514-81-96474,2014,대구,
13,㈜정상라이다,318-81-05832,2014,대덕,
14,㈜신성티케이, 410-86-88342,2015,광주,
15,㈜마그네타,318-81-07354,2015,대덕,
16,㈜케이에스티플랜트,606-86-60590,2015,부산,
17,㈜하버맥스,603-81-84360,2015,부산,
18,레이저닉스㈜,318-81-07539,2015,대덕,
19,㈜마이크로메디,654-81-00107,2015,대구,
20,㈜케이앤에스에너지,519-87-00145,2015,대구,
21,㈜옵텔라,572-81-00033,2015,광주,
22,바이오지이티㈜,705-87-00111,2015,대덕,
23,㈜와이텔포토닉스,409-81-77840,2015,광주,
24,㈜웰트리,305-86-11686,2015,대덕,
25,㈜에스엔케이,314-86-40190,2015,대덕,
26,㈜케이엔랩,585-86-00179,2015,강소(구미),강소
27,㈜아이서티,107-87-42618,2015,대덕,
28,㈜카이바이오텍,418-81-42520,2015,전북,
29,㈜에너지플래닛,554-86-00253,2015,광주,
30,㈜다온알에스,561-81-00047,2015,광주,
31,㈜씨투씨소재,846-88-00272,2015,대덕,
32,㈜데브스택,662-88-00295,2016,대덕,
33,한선에스티㈜,437-81-00287,2016,대덕,
34,내일테크놀로지,493-86-00166,2016,대덕,
35,㈜마리노비앤씨,617-86-01801,2016,부산,
36,㈜엠에스건설기술,221-87-00350,2016,광주,
37,㈜블루시스,314-86-13714,2016,대덕,
38,㈜아이오티융복합연구소,541-87-00399,2016,대덕,
39,퓨리파이테크노,765-88-00288,2016,광주,
40,㈜제이앤유글로벌,268-86-00221,2016,광주,
41,㈜희양,631-87-00315,2016,부산,
42,㈜이오엘,178-88-00280,2016,광주,
43,㈜하다,403-81-70868,2016,전북,
44,디케이바이오㈜,858-87-00400,2016,대덕,
45,㈜우민해양연구소,880-88-00404,2016,부산,
46,피씨오낙㈜,577-81-00493,2016,대구,
47,㈜그리다에너지,563-88-00377,2016,광주,
48,㈜이노피아,680-87-00466,2016,부산,
49,㈜하가,216-87-00547,2016,대구,
50,㈜켐트리,314-86-31328,2016,대덕,
51,㈜에코바이오의학연구소,314-86-46990,2016,대덕,
52,㈜나인비,397-87-00415,2016,대덕,
53,㈜리앤투네이쳐,728-88-00538,2016,대구,
54,㈜대신테크젠,515-81-47073,2016,대구,
55,㈜씨에스유,705-81-00045,2016,광주,
56,㈜나노와,645-87-00482,2016,부산,
57,한국엔디랩㈜,862-86-00421,2016,전북,
58,㈜네오시큐,120-87-79200,2016,대덕,
59,㈜워프솔루션,546-88-00329,2016,대구,
60,㈜바이오쓰리에스,372-87-00681,2016,광주,
61,㈜에머스,236-86-00485,2016,광주,
62,㈜엘에이치에이피,772-88-00520,2016,광주,
63,㈜지유솔루션,139-81-44232,2016,광주,
64,㈜태선에너지,483-81-00539,2016,광주,
65,㈜홀마,515-81-47452,2016,대구,
66,㈜쏠텍,353-88-00412,2016,대구,
67,㈜이레드,519-87-00539,2016,대구,
68,㈜엔비언트,550-87-00224,2016,대덕,
69,㈜팀제파,201-86-45657,2016,대덕,
70,㈜위드유,534-88-00501,2016,부산,
71,㈜이씨큐,663-88-00449,2016,대덕,
72,㈜유디엠,246-88-00341,2016,부산,
73,㈜앤트로스,543-81-00433,2017,대덕,
74,미르텍알앤디㈜,312-86-23405,2017,대덕,
75,㈜엠팩엔지니어링,759-81-00625,2017,대덕,
76,㈜지엔에스모바일언스,303-87-00536,2017,대구,
77,㈜로보스코리아,250-88-00490,2017,강소(포항),강소
78,베스트에너지㈜,609-86-18451,2017,부산,
79,㈜휴켐,124-87-02979,2017,강소(안산),강소
80,㈜피앤유드론,174-88-00503,2017,부산,
81,선바이오연구소㈜,223-88-00407,2017,부산,
82,현송콘트롤스㈜,330-87-00616,2017,부산,
83,㈜에너캠프,273-81-00475,2017,대구,
84,㈜제이콥코리아,135-86-23716,2017,대구,
85,㈜다온테크놀러지,714-86-00383,2017,대덕,
86,㈜네프,605-86-34615,2017,전북,
87,㈜가온우드,418-81-52334,2017,전북,
88,㈜지에스씨알오,468-86-00423,2017,전북,
89,㈜아이트릭스테크놀로지,433-87-00104,2017,대덕,
90,위플레이랩㈜,474-81-00646,2017,대덕,
91,㈜이노켐텍,314-86-48004,2017,대덕,
92,㈜피즐리소프트,781-86-00670,2017,대덕,
93,㈜에스엔비아,464-87-00506,2017,부산,
94,㈜스마트랩,198-81-00723,2017,부산,
95,㈜에이치온,402-86-04259,2017,전북,
96,㈜큐얼스,602-87-00675,2017,광주,
97,㈜팔복인더스트리,691-88-00406,2017,전북,
98,㈜에이에이치티,513-81-65885,2017,대구,
99,리녹스㈜,568-86-00650,2017,부산,
100,㈜네오나노텍,155-87-00368,2017,대덕,
101,㈜분자와 물질,713-86-00610,2017,대덕,
102,㈜디쏠,418-81-53269,2017,전북,
103,㈜씨비에이치,480-81-00340,2017,전북,
104,㈜휴메닉,284-88-00682,2017,대구,
105,㈜케이넷,109-86-27673,2017,대덕,
106,㈜맑은숲약초애,780-81-00269,2017,대구,
107,㈜천연스토리,726-88-00681,2017,광주,
108,㈜에이엠아이테크놀로지,539-88-00321,2017,대덕,
109,㈜한유메딕스,566-81-00756,2017,대구,
110,㈜스페이스매직,797-86-00582,2017,대덕,
111,㈜모만,172-87-00325,2017,강소(안산),강소
112,㈜에니에스,402-81-79769,2017,전북,
113,㈜나인랩스코리아,150-81-00925,2017,전북,
114,㈜라코스미,409-86-27423,2017,광주,
115,㈜워너버스이노베이션,643-81-00752,2017,강소(안산),강소
116,㈜엠텍정보기술,409-86-33871,2017,광주,
117,㈜아이디어스,408-86-02394,2017,광주,
118,㈜빵야랩,263-86-00847,2017,광주,
119,㈜마하테크,521-88-00771,2017,광주,
120,㈜아이제이엑스콤,236-81-00869,2017,부산,
121,농업회사법인 유한회사 우리들녘식품,190-87-00338,2017,전북,
122,㈜테라에코,216-86-00384,2017,전북,
123,㈜건설시스템융합기술원,195-87-00764,2017,대구,
124,㈜디케이에스에이치알디씨,448-81-00934,2017,대구,
125,㈜지엘,594-88-00745,2017,대구,
126,㈜이트라이언,183-87-00489,2017,대덕,
127,㈜엠티에프씨,364-88-00464,2017,강소(포항),강소
128,하이나노텍㈜,503-86-15286,2017,대구,
129,㈜디에이치유메디코스,373-86-00839,2017,대구,
