번호,지역,기관명,지구
1,대덕,(사)뿌리산업창조혁신연구원,1지구
2,대덕,(사)한국농식품ICT융복합산업협회,1지구
3,대덕,(사)한국선급,1지구
4,대덕,(사)한국원자력기술기업협회,1지구
5,대덕,(사단법인)대덛원자력포럼,1지구
6,대덕,(유)실리콘밸류,1지구
7,대덕,(재)기가코리아사업단,1지구
8,대덕,(재)다차원스마트IT융합,1지구
9,대덕,(재)대전정보문화산업진흥원,1지구
10,대덕,(재)대전창조경제혁신센터,1지구
11,대덕,(재)사용후핵연료관리핵심기술개발사업단,1지구
12,대덕,(재)카이트창업가재단,1지구
13,대덕,(재)한국이산화탄소포집및처리연구개발센터,1지구
14,대덕,(주) 케이프로텍,1지구
15,대덕,(주)LG화학,1지구
16,대덕,(주)LI Networks,1지구
17,대덕,(주)TW에너시스,1지구
18,대덕,(주)가이아,1지구
19,대덕,(주)가인테크,1지구
20,대덕,(주)골프존 유원홀딩스,1지구
21,대덕,(주)그래파이,1지구
22,대덕,(주)그린빌트,1지구
23,대덕,(주)그린시티솔루션,1지구
24,대덕,(주)금광,1지구
25,대덕,(주)김일두연구소,1지구
26,대덕,(주)나노람다코리아,1지구
27,대덕,(주)나노바이오텍,1지구
28,대덕,(주)나노스캔코리아,1지구
29,대덕,(주)나르마,1지구
30,대덕,(주)네스포유,1지구
31,대덕,(주)네오나노텍,1지구
32,대덕,(주)네오디바이스,1지구
33,대덕,(주)네오디엠,1지구
34,대덕,(주)네오로드,1지구
35,대덕,(주)네오시스코리아,1지구
36,대덕,(주)네오퓨쳐텍,1지구
37,대덕,(주)네패스,1지구
38,대덕,(주)넷브릿지,1지구
39,대덕,(주)넷사피엔스,1지구
40,대덕,(주)넷커스터마이즈,1지구
41,대덕,(주)뉴라텍,1지구
42,대덕,(주)다원,1지구
43,대덕,(주)다인스,1지구
44,대덕,(주)다크호스게임즈,1지구
45,대덕,(주)대덕정밀,1지구
46,대덕,(주)대연아이엔티,1지구
47,대덕,(주)대자연과함께,1지구
48,대덕,(주)더 금영,1지구
49,대덕,(주)더블유쏠라,1지구
50,대덕,(주)더에스,1지구
51,대덕,(주)더이엔,1지구
52,대덕,(주)동승전기,1지구
53,대덕,(주)동양환경,1지구
54,대덕,(주)듀라씰,1지구
55,대덕,(주)드론디비젼,1지구
56,대덕,(주)드림빌더,1지구
57,대덕,(주)디앤티글로벌,1지구
58,대덕,(주)디케이아이테크놀로지,1지구
59,대덕,(주)디토,1지구
60,대덕,(주)라드웍스,1지구
61,대덕,(주)라이온로보틱스,1지구
62,대덕,(주)래티스테크놀로지,1지구
63,대덕,(주)랩죤,1지구
64,대덕,(주)레보스케치,1지구
65,대덕,(주)레이저앤그래핀,1지구
66,대덕,(주)로엔서지컬,1지구
67,대덕,(주)루미셈,1지구
68,대덕,(주)루미콤,1지구
69,대덕,(주)리뉴시스템,1지구
70,대덕,(주)리얼타임웨이브,1지구
71,대덕,(주)마이티시스템,1지구
72,대덕,(주)마젠타로보틱스,1지구
73,대덕,(주)매인,1지구
74,대덕,(주)맥섭기술,1지구
75,대덕,(주)맥솔루션,1지구
76,대덕,(주)메디레독스,1지구
77,대덕,(주)메디셀,1지구
78,대덕,(주)메디진,1지구
79,대덕,(주)메타뱅크,1지구
80,대덕,(주)명신테크,1지구
81,대덕,(주)모노솔라,1지구
82,대덕,(주)모두텍,1지구
83,대덕,(주)모스트,1지구
84,대덕,(주)모신바이오텍,1지구
85,대덕,(주)모헨즈,1지구
86,대덕,(주)몰팩바이오,1지구
87,대덕,(주)미르캠앤프로토,1지구
88,대덕,(주)미토스테라퓨틱스,1지구
89,대덕,(주)밀리트로닉스,1지구
90,대덕,(주)바론시스템,1지구
91,대덕,(주)바이엠텍,1지구
92,대덕,(주)백유정보통신,1지구
93,대덕,(주)베니페,1지구
94,대덕,(주)보노아이씨티,1지구
95,대덕,(주)부강테크,1지구
96,대덕,(주)뷰런,1지구
97,대덕,(주)브이엠에스 솔루션스,1지구
98,대덕,(주)브이픽스메디칼,1지구
99,대덕,(주)블루디바이스,1지구
100,대덕,(주)블루젠,1지구
101,대덕,(주)블루코드 기술연구소,1지구
102,대덕,(주)블루코리아이노베이션,1지구
103,대덕,(주)블루텍,1지구
104,대덕,(주)비제이P&S-폐쇄09.11.05,1지구
105,대덕,(주)비제이바이오켐,1지구
106,대덕,(주)비케이,1지구
107,대덕,(주)비케이유엘에스,1지구
108,대덕,(주)비케이인스트루먼트,1지구
109,대덕,(주)빅썸바이오,1지구
110,대덕,(주)사이버메드,1지구
111,대덕,(주)사이언스웍스,1지구
112,대덕,(주)사이조은,1지구
113,대덕,(주)삼보티디피,1지구
114,대덕,(주)삼양바이오팜 의약바이오연구소,1지구
115,대덕,(주)삼양사,1지구
116,대덕,(주)삼양사,1지구
117,대덕,(주)삼양사 중앙연구소,1지구
118,대덕,(주)삼익에너지,1지구
119,대덕,(주)상두,1지구
120,대덕,(주)생물유전자원연구소,1지구
121,대덕,(주)서우인,1지구
122,대덕,(주)서지텍,1지구
123,대덕,(주)석화디자인,1지구
124,대덕,(주)성진테크윈,1지구
125,대덕,(주)세이프텍리서치,1지구
126,대덕,(주)세컨그라운드,1지구
127,대덕,(주)세프라텍,1지구
128,대덕,(주)센서테크,1지구
129,대덕,(주)셀아이콘랩,1지구
130,대덕,(주)셀엔백스,1지구
131,대덕,(주)셀큐라티오,1지구
132,대덕,(주)소프트4소프트,1지구
133,대덕,(주)소프트아이텍,1지구
134,대덕,(주)솔보텍,1지구
135,대덕,(주)솔탑,1지구
136,대덕,(주)수젠텍,1지구
137,대덕,(주)쉐어박스,1지구
138,대덕,(주)스마트큐,1지구
139,대덕,(주)스코넥엔터테인먼트,1지구
140,대덕,(주)스페이스매직,1지구
141,대덕,(주)승진바이오,1지구
142,대덕,(주)시드코어,1지구
143,대덕,(주)시스다인,1지구
144,대덕,(주)시스메이트,1지구
145,대덕,(주)시큐랩,1지구
146,대덕,(주)시큐웍스,1지구
147,대덕,(주)신우기계,1지구
148,대덕,(주)실리콘웍스,1지구
149,대덕,(주)심네트,1지구
150,대덕,(주)심텍,1지구
151,대덕,(주)썬트리즈,1지구
152,대덕,(주)쏘그웨어,1지구
153,대덕,(주)씨아이제이,1지구
154,대덕,(주)씨앤비에이치,1지구
155,대덕,(주)씨앤엘,1지구
156,대덕,(주)씨에이치솔루션,1지구
157,대덕,(주)씨에프텍,1지구
158,대덕,(주)씨크릿우먼,1지구
159,대덕,(주)아리안,1지구
160,대덕,(주)아마텍코리아,1지구
161,대덕,(주)아워홈,1지구
162,대덕,(주)아이디엘,1지구
163,대덕,(주)아이브이웍스,1지구
164,대덕,(주)아이서티,1지구
165,대덕,(주)아이와즈,1지구
166,대덕,(주)아이카이스트,1지구
167,대덕,(주)아이트릭스테크놀로지,1지구
168,대덕,(주)아이티알,1지구
169,대덕,(주)아이티인프라,1지구
170,대덕,(주)아이피아이,1지구
171,대덕,(주)아이피아이테크,1지구
172,대덕,(주)아이피트,1지구
173,대덕,(주)아임시스템,1지구
174,대덕,(주)알앤디프로젝트,1지구
175,대덕,(주)알앤에스랩,1지구
176,대덕,(주)알티스트,1지구
177,대덕,(주)앤플럭스,1지구
178,대덕,(주)어반데이터랩,1지구
179,대덕,(주)에세텔,1지구
180,대덕,(주)에스브이에스에이,1지구
181,대덕,(주)에스아이디텍션,1지구
182,대덕,(주)에스아이아이에스,1지구
183,대덕,(주)에스아이에스센서,1지구
184,대덕,(주)에스아이에이,1지구
185,대덕,(주)에스엠인스트루먼트,1지구
186,대덕,(주)에스오엑스,1지구
187,대덕,(주)에스제이정보통신,1지구
188,대덕,(주)에어테르,1지구
189,대덕,(주)에이브람스,1지구
190,대덕,(주)에이브레인,1지구
191,대덕,(주)에이알텍,1지구
192,대덕,(주)에이온엘에스,1지구
193,대덕,(주)에이치비씨,1지구
194,대덕,(주)에이치큐테크,1지구
195,대덕,(주)에이치티,1지구
196,대덕,(주)에이코퍼레이션,1지구
197,대덕,(주)에이팩,1지구
198,대덕,(주)에코마스터,1지구
199,대덕,(주)에코바이오의학연구소,1지구
200,대덕,(주)에코샤인,1지구
201,대덕,(주)에코플러스,1지구
202,대덕,(주)에프아이시스,1지구
203,대덕,(주)에핏,1지구
204,대덕,(주)엑셀베스트,1지구
205,대덕,(주)엑스트,1지구
206,대덕,(주)엑트,1지구
207,대덕,(주)엔시정보기술,1지구
208,대덕,(주)엔쓰리소프트,1지구
209,대덕,(주)엔에프,1지구
210,대덕,(주)엔지노믹스,1지구
211,대덕,(주)엔테로지노믹스,1지구
212,대덕,(주)엔텍코아,1지구
213,대덕,(주)엘스콤,1지구
214,대덕,(주)엘지유플러스,1지구
215,대덕,(주)엘케이글로벌,1지구
216,대덕,(주)엘케이켐,1지구
217,대덕,(주)엘큐바이오,1지구
218,대덕,(주)엠씨케이테크,1지구
219,대덕,(주)엠지이노베이션,1지구
220,대덕,(주)엠칩스,1지구
221,대덕,(주)엠투엠코리아,1지구
222,대덕,(주)엠티지,1지구
223,대덕,(주)엠팩엔지니어링,1지구
224,대덕,(주)연암엔지니어링,1지구
225,대덕,(주)오딘,1지구
226,대덕,(주)오믹시스,1지구
227,대덕,(주)옥타곤솔루션,1지구
228,대덕,(주)옵토스타,1지구
229,대덕,(주)옵트론텍,1지구
230,대덕,(주)와이브레인,1지구
231,대덕,(주)와이티,1지구
232,대덕,(주)우노코스,1지구
233,대덕,(주)우리가만드는안전한세상,1지구
234,대덕,(주)우정넷,1지구
235,대덕,(주)우조하이텍,1지구
236,대덕,(주)원방포스택,1지구
237,대덕,(주)원컴,1지구
238,대덕,(주)웨비오,1지구
239,대덕,(주)웨이브트로닉스,1지구
240,대덕,(주)웨이옵틱스,1지구
241,대덕,(주)위너다임,1지구
242,대덕,(주)위드마인드,1지구
243,대덕,(주)위로보,1지구
244,대덕,(주)윕스,1지구
245,대덕,(주)유나,1지구
246,대덕,(주)유니버셜머티리얼코퍼레이션,1지구
247,대덕,(주)유니코정밀화학,1지구
248,대덕,(주)유앤아이기술,1지구
249,대덕,(주)유엠아이,1지구
250,대덕,(주)이공감,1지구
251,대덕,(주)이노즈,1지구
252,대덕,(주)이르테크,1지구
253,대덕,(주)이맥솔루션,1지구
254,대덕,(주)이맥솔루션 대전지점,1지구
255,대덕,(주)이머시스,1지구
256,대덕,(주)이아이에스,1지구
257,대덕,(주)이앤씨코리아,1지구
258,대덕,(주)이앤이시스,1지구
259,대덕,(주)이에스글로벌네트워크,1지구
260,대덕,(주)이에스티,1지구
261,대덕,(주)이엔이티,1지구
262,대덕,(주)이지스,1지구
263,대덕,(주)이지스웨어,1지구
264,대덕,(주)이지파워컴퍼니,1지구
265,대덕,(주)이포토닉스,1지구
266,대덕,(주)이폼웍스,1지구
267,대덕,(주)인섹트바이오텍,1지구
268,대덕,(주)인아트,1지구
269,대덕,(주)인터케스트,1지구
270,대덕,(주)인투스페이스,1지구
271,대덕,(주)인퍼텍,1지구
272,대덕,(주)인포리언스,1지구
273,대덕,(주)인포스,1지구
274,대덕,(주)인포카,1지구
275,대덕,(주)인피니전,1지구
276,대덕,(주)일리시스,1지구
277,대덕,(주)잇팩,1지구
278,대덕,(주)정상라이다,1지구
279,대덕,(주)정석케미칼,1지구
280,대덕,(주)제노텍,1지구
281,대덕,(주)제로스인터내셔널,1지구
282,대덕,(주)제우기술,1지구
283,대덕,(주)제이이엔지,1지구
284,대덕,(주)제이피씨오토모티브,1지구
285,대덕,(주)조아스텍,1지구
286,대덕,(주)조이앤시스,1지구
287,대덕,(주)준형,1지구
288,대덕,(주)중앙백신연구소,1지구
289,대덕,(주)지씨아이,1지구
290,대덕,(주)지에프이엔씨,1지구
291,대덕,(주)지피에이코리아,1지구
292,대덕,(주)지피엔이,1지구
293,대덕,(주)청강이엔지,1지구
294,대덕,(주)카보엑스퍼트,1지구
295,대덕,(주)카스,1지구
296,대덕,(주)카이로켐,1지구
297,대덕,(주)카이스트홀딩스,1지구
