회사명,소재지,Latitude,Longitude,전화번호
경기서부 근로자건강센터,경기 시흥시 공단1대로 247 KT시화지점 3층,37.3360863,126.7291114,1577-6497
인천 근로자건강센터,인천 남동구 남동대로 215번길30 4층,37.4051924,126.6959427,1577-6497
광주 근로자건강센터,광주 광산구 하남산단 3번로 133-8 하남근로자종합복지관 2층,35.1902663,126.8091056,1577-6497
대구 근로자건강센터,대구 달서구 성서공단로 217 대구비지니스센터 7층,35.8361967,128.5066492,1577-6497
경남 근로자건강센터,경남 창원시 성산구 완암로50 창원SK테크노파크테크동 11층,35.2056174,128.6637929,1577-6497
서울 근로자건강센터,서울 금천구 가산디지털1로 131 BYC하이시티 2층,37.4769347,126.8824557,1577-6497
경기동부 근로자건강센터,경기 성남시 중원구 둔촌대로457번길8 성남산업단지관리공단 12층,37.4323049,127.1686506,1577-6497
울산 근로자건강센터,울산 울주군 온산읍 덕남로 90,35.4295515,129.3064173,1577-6497
부천 근로자건강센터,경기 부천시 오정구 삼작로 22 부천테크노파크1단지 관리동 3층,37.5191802,126.7624008,1577-6497
충남 근로자건강센터,충남 천안시 서북구 백석3로 35 YJ빌딩 2층,36.8218626,127.1156384,1577-6497
대전 근로자건강센터,대전 유성구 테크노3로 65 (한신에스메카 1층),36.4292747,127.3907577,1577-6497
부산 근로자건강센터,부산 사상구 대동로 303 벽산디지털밸리 1층,35.1546669,128.986095,1577-6497
경북북부 근로자건강센터,경북 구미시 해마루공원로 24 구미근로자문화센터 1층,36.134901,128.429537,1577-6497
경기남부 근로자건강센터,경기 수원시 영통구 덕영대로1556번길16 디지털엠파이어빌딩 C동2층,37.245131,127.059998,1577-6497
전남동부 근로자건강센터,전남 여수시 무선중앙로 23 YM빌딩 3층,34.7750596,127.6480046,1577-6497
서울서부 근로자건강센터,서울 강서구 양천로 583 우림블루나인 A-1406호,37.5572518,126.864441,1577-6497
경산 근로자건강센터,경북 경산시 진량읍 공단7로 126 근로자복지회관 2층,35.864194,128.8354499,1577-6497
전북 근로자건강센터,전북 전주시 덕진구 유상로 47 KT팔복지사 2층,35.8609109,127.0823382,1577-6497
강원 근로자건강센터,강원 원주시 호저로 47 강원도산업경제진흥원 604호,37.3805051,127.9402896,1577-6497
제주 근로자건강센터,제주도 제주시 중앙로 165 고용복지플러스센터 3층,33.5044294,126.5271508,1577-6497
경기북부 근로자건강센터,경기 양주시 남면 검준길 82 검준공단지원센터 4층,37.8646999,126.9970487,1577-6497
충북 근로자건강센터,"충북 청주시 오창읍 양청송대길 10, 청주미래누리터 5층",36.7123364,127.4382331,1577-6497
전남서부 근로자건강센터,"전남 영암군 삼호읍 나불로 163, 리팩토리대불 관리동 2층",34.7663125,126.4432476,1577-6497
거제 근로자건강센터 ,경남 거제시 거제중앙로 1865 서호빌딩 5층,34.8847168,128.6246892,1577-6497
경기서부 근로자건강센터,(군포분소)경기 군포시 고산로 148번길 17 군포아이티밸리 동 1202호,37.3495999,126.953582,031-8086-7195
인천 근로자건강센터,(인천부평분소)인천 부평구 부평대로 283 지하1층 116호,37.5174156,126.7194347,032-528-1155
광주 근로자건강센터,(광주광산분소)광주 광산구 평동산단로 184-1 5층,35.1235111,126.7693154,062-941-6497
대구 근로자건강센터,(서대구분소) 대구 서구 평리로21길 33,35.8616283,128.5352694,053-584-2406
경남 근로자건강센터,(창원분소) 경남 창원시 의창구 창원대로18번길 46 ,35.252219,128.6035624,070-4270-0240
서울 근로자건강센터,(서울중구분소) 서울 중구 퇴계로 197 충무빌딩 302호,37.5614603,126.9939265,02-2268-6497
경기동부 근로자건강센터,(성남분소)성남 분당구 판교역로240 삼한하이펙스 A동 127호,37.4020702,127.1104411,031-698-2990
울산 근로자건강센터,(울산북구분소)울산 북구 산업로 1020(오토밸리복지센터) 4층,35.5841919,129.360409,052-288-7772
부천 근로자건강센터,(김포양촌분소)김포시 양촌읍 황금로117 메카존 나동243호,37.6170463,126.621115,031-999-7602
충남 근로자건강센터,(아산분소)아산시 둔포면 아산밸리중앙로 82 G-플레이스 405호,36.9232476,127.057222,041-547-7993
부산 근로자건강센터,(양산분소)경남 양산시 대평들3길 2 1층,35.4159361,129.1670845,055-385-7301
경북북부 근로자건강센터,(구미분소)구미시 구미대로 350-27 비지니스지원센터 213호,36.1194287,128.3651727,054-465-2511
경기남부 근로자건강센터,(평택분소)경기 평택시 모곡동 산단로 58 성은상가 1층 ,37.0368266,127.0765406,031-663-8953
서울서부 근로자건강센터,(서울성동분소)서울 성동구 상원1길 26 서울숲A타워 308호,37.5461391,127.0486088,02-6077-7500
경산 근로자건강센터,(영천분소) 경북 영천시 금완로 63 영천상공회의소 1층,35.9606792,128.9354523,054-338-8541
전북 근로자건강센터,(완주분소) 완주군 봉동읍 과학로850-15 전북근로자종합복지관 1층,35.9447888,127.1268219,063-262-7733
강원 근로자건강센터,(춘천분소) 강원 춘천시 퇴계공단길 24 퇴계농공단지,37.8455153,127.7343999,033-262-2788
제주 근로자건강센터,(연동분소) 제주시 수목원길 9 제주근로자종합복지관1층,33.4696777,126.4862263,064-745-8961
경기북부 근로자건강센터,"(남양주분소) 경기 남양주시 진관산단로70번길 6, 2층",37.6374488,127.1567234,031-572-9032
대구 근로자건강센터,(대구달성분소) 대구 달성군 논공읍 논공중앙로34길 1,35.7296944,128.453255,053-617-9701
부천 근로자건강센터,(김포고촌분소)김포시 고촌읍 아라육로58번길 105-1유호빌딩 204호,37.593774,126.7896299,031-998-9165
㈜다인,서울시 강남구 신사동 도산대로 149 진우빌딩 5층,37.5186754,127.0246927,02-2268-5980
서울지역본부_대한산업보건협회,서울시 금천구 디지털로9길 56 코오롱테크노벨리 2층 ,37.480349,126.886814,02-866-9507
경인지역본부_대한산업보건협회,경기도 수원시 팔달구 인계로 126 미디어시티 5층,37.2672505,127.0313024,031-267-4400
경기북부산업보건센터_대한산업보건협회,경기도 의정부시 범골로 142,37.7351859,127.0406966,031-828-3800
경기서부산업보건센터_대한산업보건협회,경기도 안산시 단원구 신길로1길 86 신우프라자 2~5층,37.3305654,126.7870591,031-498-1063
강원산업보건센터_대한산업보건협회,강원도 춘천시 중앙로 172 7층 8층(근화동),37.8748669,127.7162656,033-254-4632
강원산업보건센터 원주사무소_대한산업보건협회,강원도 원주시 시청로 21-1 401호,37.3409883,127.923088,031-731-4725
인천산업보건센터_대한산업보건협회,인천광역시 미추홀구 경원대로 812 2층,37.4551318,126.689968,032-430-9300
대전충남지역본부_대한산업보건협회,대전광역시 대덕구 대덕대로 1403,36.4459486,127.4052353,042-933-3200
천안산업보건센터_대한산업보건협회,충청남도 아산시 배방읍 희망로46번길 46-8 3층,36.788218,127.1077319,041-536-6900
