종목코드,종목명,시가총액
60310,3S,"99,114,286,720"
54620,APS,"88,728,225,660"
265520,AP시스템,"285,213,057,950"
211270,AP위성,"189,282,915,200"
139050,BF랩스,"24,247,965,555"
126600,BGF에코머티리얼즈,"184,534,683,060"
83790,CG인바이츠,"129,259,119,942"
35760,CJ ENM,"1,703,895,265,800"
311690,CJ 바이오사이언스,"130,523,965,380"
51500,CJ프레시웨이,"341,901,676,800"
58820,CMG제약,"277,186,292,213"
56730,CNT85,"53,730,609,850"
65770,CS,"18,537,629,150"
83660,CSA 코스믹,"48,691,508,895"
477760,DB금융스팩12호,"12,176,400,000"
99520,DGI,"58,141,862,016"
60900,DGP,"43,209,143,966"
290120,DH오토리드,"36,870,500,170"
25440,DH오토웨어,"40,488,415,920"
68790,DMS,"149,939,488,590"
241520,DSC인베스트먼트,"199,800,000,000"
180400,DXVX,"107,298,361,760"
418620,E8,"47,611,017,285"
245620,EDGC,"57,474,989,665"
37370,EG,"47,609,845,440"
50120,ES큐브,"41,234,821,440"
214270,FSN,"104,858,301,600"
130500,GH신소재,"38,471,662,540"
900290,GRT,"242,145,750,000"
83450,GST,"438,634,000,000"
297890,HB솔루션,"199,674,695,220"
440290,HB인베스트먼트,"59,635,422,000"
78150,HB테크놀러지,"192,385,525,700"
225530,HC보광산업,"116,102,232,765"
60560,HC홈센타,"89,368,667,500"
195940,HK이노엔,"1,310,257,458,750"
28300,HLB,"5,145,839,120,700"
278650,HLB바이오스텝,"114,325,278,246"
67630,HLB생명과학,"413,908,411,910"
24850,HLB이노베이션,"268,838,581,149"
187420,HLB제넥스,"92,360,745,940"
47920,HLB제약,"462,142,926,040"
115450,HLB테라퓨틱스,"267,069,862,395"
46210,HLB파나진,"77,798,461,832"
196300,HLB펩,"66,540,729,680"
403870,HPSP,"2,960,024,235,600"
36640,HRS,"86,516,892,000"
442770,IBKS제21호스팩,"8,798,900,000"
448760,IBKS제22호스팩,"10,078,250,000"
467930,IBKS제23호스팩,"9,221,400,000"
469480,IBKS제24호스팩,"9,221,400,000"
95340,ISC,"1,702,123,757,400"
950170,JTC,"369,986,388,200"
67290,JW신약,"78,889,914,228"
35900,JYP Ent.,"2,661,383,650,800"
318000,KBG,"43,701,115,000"
24840,KBI메탈,"65,175,474,533"
24120,KB오토시스,"38,870,000,000"
455250,KB제25호스팩,"8,997,450,000"
464680,KB제27호스팩,"26,519,775,000"
478390,KB제29호스팩,"12,906,500,000"
486630,KB제30호스팩,"10,832,400,000"
492220,KB제31호스팩,"12,513,150,000"
0037T0,KB제32호스팩,"12,660,000,000"
21320,KCC건설,"110,852,000,000"
44180,KD,"21,080,343,411"
46440,KG모빌리언스,"193,094,874,160"
151860,KG에코솔루션,"277,525,501,660"
35600,KG이니시스,"283,810,670,200"
226360,KH 건설,"67,617,390,260"
111870,KH 미래물산,"62,746,456,410"
60720,KH바텍,"297,625,445,940"
58400,KNN,"96,408,836,160"
101000,KS인더스트리,"33,480,248,802"
89600,KT나스미디어,"164,267,914,600"
418470,KT밀리의서재,"122,290,906,920"
43610,KT지니뮤직,"114,836,105,488"
122450,KX,"186,450,509,440"
52900,KX하이텍,"51,360,205,844"
36560,KZ정밀,"235,935,000,000"
61970,LB세미콘,"270,666,807,960"
309960,LB인베스트먼트,"121,658,332,360"
225190,LK삼양,"83,988,668,200"
60370,LS마린솔루션,"1,235,448,897,100"
417200,LS머트리얼즈,"677,203,116,590"
78020,LS증권,"288,502,188,000"
322180,LS티라유텍,"115,698,571,520"
476080,M83,"95,521,950,000"
86960,MDS테크,"134,870,057,964"
160550,NEW,"70,462,917,650"
53290,NE능률,"35,779,454,655"
60250,NHN KCP,"586,746,526,710"
104200,NHN벅스,"47,744,711,000"
63570,NICE인프라,"148,713,355,440"
222160,NPX,"79,551,289,560"
24940,PN풍년,"47,600,000,000"
332570,PS일렉트로닉스,"284,739,692,640"
218410,RFHIC,"833,533,250,900"
327260,RF머트리얼즈,"118,739,892,480"
474610,RF시스템즈,"67,273,388,220"
91340,S&K폴리텍,"28,440,042,030"
419530,SAMG엔터,"508,972,167,600"
19550,SBI인베스트먼트,"119,443,065,775"
246960,SCL사이언스,"86,629,393,050"
99220,SDN,"82,998,879,300"
36540,SFA반도체,"707,179,302,900"
255220,SG,"215,112,358,920"
40610,SG&G,"62,243,219,896"
49470,SGA,"356,705,228,940"
184230,SGA솔루션즈,"63,756,928,827"
16250,SGC E&C,"72,985,927,140"
357880,SKAI,"81,138,898,140"
48550,SM C&C,"130,177,878,520"
63440,SM Life Design,"78,111,474,338"
67160,SOOP,"856,360,141,500"
289080,SV인베스트먼트,"102,642,330,000"
13720,THE CUBE&,"60,706,486,714"
89230,THE E&M,"32,822,844,067"
32540,TJ미디어,"83,589,654,000"
48770,TPC,"35,085,009,885"
246690,TS인베스트먼트,"57,695,706,042"
317240,TS트릴리온,"23,972,258,484"
57030,YBM넷,"52,526,884,340"
40300,YTN,"129,919,770,500"
51390,YW,"43,831,720,480"
